	raw	no.adapt	filtered	derepF	derepR	denoisedF	denoisedR	merged	no.chim
GO-32_S118	74727	68807	4939	4939	4939	4939	4939	4771	4312
GO-35_S126	131894	121742	15234	15234	15234	15234	15234	14308	14308
GO-36_S134	44435	40411	4817	4817	4817	4817	4817	3747	3747
GO-37_S142	86270	78792	10690	10690	10690	10690	10690	10432	10432
GO-38_S150	44627	39678	4576	4576	4576	4576	4576	4545	4545
GO-39_S158	71308	64794	8865	8865	8865	8865	8865	8603	8603
GO-40_S166	36447	32803	4400	4400	4400	4400	4400	4169	4169
GO-42_S174	175501	162679	14233	14233	14233	14233	14233	12637	11248
GO-44_S182	199915	185983	16846	16846	16846	16846	16846	15850	13557
GO-45_S190	53081	48977	4265	4265	4265	4265	4265	3286	3271
GO-46_S103	33486	30859	3132	3132	3132	3132	3132	3014	3014
GO-47_S111	32316	29552	3107	3107	3107	3107	3107	2970	2835
GO-48_S119	141224	130857	11695	11695	11695	11695	11695	11183	10999
GO-49_S127	1867	1136	186	186	186	186	186	169	169
GO-50_S135	1849	805	115	115	115	115	115	110	110
GO-51_S143	8268	6843	3015	3015	3015	3015	3015	3006	3006
GO-52_S151	159141	146453	17432	17432	17432	17432	17432	15839	14799
GO-53_S159	138031	127714	14047	14047	14047	14047	14047	7568	7568
GO-55_S167	1971	1050	244	244	244	244	244	239	239
GO-57_S175	89076	81508	7187	7187	7187	7187	7187	6914	6444
GO-58_S183	39872	36948	2693	2693	2693	2693	2693	2684	2684
GO-59_S191	123589	120711	51864	51864	51864	51864	51864	51787	51543
GO-6_S125	7471	5284	1731	1731	1731	1731	1731	1721	1721
GO-7_S133	32690	29121	2377	2377	2377	2377	2377	2267	2267
GO-8_S141	39276	35136	2651	2651	2651	2651	2651	2219	2219
GO-9_S149	39272	35378	3569	3569	3569	3569	3569	2131	2131
HIN-10_S16	21666	20066	2063	2063	2063	2063	2063	2004	2004
HIN-11_S24	28763	26706	2843	2843	2843	2843	2843	2660	2660
HIN-12_S32	32412	30061	2381	2381	2381	2381	2381	1918	1772
HIN-16_S40	28587	26260	2724	2724	2724	2724	2724	44	44
HIN-17_S48	39993	37303	3308	3308	3308	3308	3308	3124	2499
HIN-18_S56	4502	3220	390	390	390	390	390	376	376
HIN-19_S64	31923	29596	3613	3613	3613	3613	3613	3271	3132
HIN-32_S72	17047	14673	1052	1052	1052	1052	1052	1009	1009
HIN-35_S80	69734	64803	7176	7176	7176	7176	7176	6718	6718
HIN-36_S88	30267	28172	3114	3114	3114	3114	3114	2981	2981
HIN-37_S96	188829	176546	21880	21880	21880	21880	21880	21784	21080
HIN-38_S9	3436	1665	210	210	210	210	210	202	202
HIN-39_S17	26127	23997	3780	3780	3780	3780	3780	3745	3745
HIN-40_S25	33413	30935	4601	4601	4601	4601	4601	4384	4384
HIN-42_S33	47490	43989	3710	3710	3710	3710	3710	3299	3100
HIN-44_S41	19476	18213	1196	1196	1196	1196	1196	1115	863
HIN-45_S49	34207	31702	2694	2694	2694	2694	2694	2146	2146
HIN-46_S57	48305	44955	4032	4032	4032	4032	4032	3924	3924
HIN-47_S65	26309	24382	1960	1960	1960	1960	1960	1947	1926
HIN-48_S73	39162	35887	2803	2803	2803	2803	2803	2730	2730
HIN-49_S81	22535	20528	1655	1655	1655	1655	1655	1527	1527
HIN-50_S89	27627	25449	2173	2173	2173	2173	2173	2049	1894
HIN-51_S97	33804	31187	1769	1769	1769	1769	1769	1709	1709
HIN-52_S10	50508	46579	5137	5137	5137	5137	5137	4614	4614
HIN-53_S18	34950	32766	4170	4170	4170	4170	4170	2551	2537
HIN-55_S26	49095	46043	6127	6127	6127	6127	6127	5947	5228
