	raw	no.adapt	filtered	derepF	derepR	denoisedF	denoisedR	merged	no.chim
HG52_S85	108256	106389	81499	81499	81499	81499	81499	77873	73516
HG53_S87	134749	132528	99033	99033	99033	99033	99033	92078	88708
HG55_S89	143065	141357	108360	108360	108360	108360	108360	102794	96390
HG57_S91	130582	127056	93424	93424	93424	93424	93424	88505	87496
HG58_S93	111007	109347	84446	84446	84446	84446	84446	78943	75132
HG59_S95	84517	81474	59401	59401	59401	59401	59401	55477	55030
HG6_S31	94849	93738	72477	72477	72477	72477	72477	67928	65158
HG7_S33	93242	92220	69471	69471	69471	69471	69471	63370	62331
HG8_S35	85921	84638	65168	65168	65168	65168	65168	63314	62100
HG9_S37	132852	129772	95581	95581	95581	95581	95581	88265	86380
MG10_S38	118811	117025	84077	84077	84077	84077	84077	76539	75816
MG11_S40	132471	126396	94907	94907	94907	94907	94907	91180	90415
MG12_S42	92771	90983	68363	68363	68363	68363	68363	64279	62469
MG16_S44	91350	86290	65730	65730	65730	65730	65730	64572	64230
MG17_S46	91413	90263	68705	68705	68705	68705	68705	65006	61565
MG18_S48	135054	129263	93856	93856	93856	93856	93856	88108	86545
MG19_S50	151742	148333	112714	112714	112714	112714	112714	106914	103001
MG32_S52	49634	47740	20124	20124	20124	20124	20124	18020	17922
MG35_S54	118456	116993	86653	86653	86653	86653	86653	82645	78136
MG36_S64	108686	105604	76571	76571	76571	76571	76571	72763	70402
MG37_S56	103132	99432	74616	74616	74616	74616	74616	71961	70525
MG38_S58	96459	92119	67801	67801	67801	67801	67801	65718	64747
MG39_S60	96209	94887	69294	69294	69294	69294	69294	66019	64933
MG40_S62	135489	132535	94492	94492	94492	94492	94492	87469	84709
MG42_S66	145205	136116	96085	96085	96085	96085	96085	93333	91847
MG44_S68	106345	104968	77435	77435	77435	77435	77435	72557	67407
MG45_S70	125554	121692	85519	85519	85519	85519	85519	82921	80946
MG46_S72	87854	84157	60299	60299	60299	60299	60299	56858	55846
MG47_S74	104964	102399	80564	80564	80564	80564	80564	77119	69872
MG48_S76	124327	119380	90326	90326	90326	90326	90326	88452	86865
MG49_S78	118447	115007	84368	84368	84368	84368	84368	80535	77402
MG50_S80	104901	102862	79662	79662	79662	79662	79662	75783	71740
MG51_S82	90623	89494	67782	67782	67782	67782	67782	62684	59241
MG52_S84	117200	115772	89632	89632	89632	89632	89632	87281	81678
MG53_S86	130932	129057	99765	99765	99765	99765	99765	92032	83534
MG55_S88	81095	79559	61073	61073	61073	61073	61073	57468	54704
MG57_S90	87192	82775	60076	60076	60076	60076	60076	57408	56614
MG58_S92	77765	75372	54062	54062	54062	54062	54062	52408	51392
MG59_S94	71508	69803	48774	48774	48774	48774	48774	45503	44057
MG6_S30	93282	91520	70610	70610	70610	70610	70610	65116	61970
MG7_S32	110804	106999	78202	78202	78202	78202	78202	72936	68694
MG8_S34	129770	127500	95132	95132	95132	95132	95132	93759	92998
MG9_S36	90443	89222	68329	68329	68329	68329	68329	65079	63950
SHS2_S8	111730	109999	74468	74468	74468	74468	74468	48584	47793
SHS3_S9	170059	167620	112482	112482	112482	112482	112482	81084	79039
